Time,DPOS(0),MPOS(0),MSPEED(0),DRIVE_FE(0)
0.0,83.96865,83.96865,0.00048,0.0
0.001,83.96865,83.96865,0.00048,0.0
0.002,83.96865,83.96865,-0.00048,0.0
0.003,83.96865,83.96865,0.0,0.0
0.004,83.96865,83.96865,0.00048,0.0
0.005,83.96865,83.96865,-0.00095,0.0
0.006,83.96865,83.96865,0.00048,0.0
0.007,83.96865,83.96865,0.0,0.0
0.008,83.96865,83.96865,0.0,0.0
0.009,83.96865,83.96865,0.0,0.0
0.01,83.96865,83.96865,0.00048,0.0
0.011,83.96865,83.96865,0.00048,0.0
0.012,83.96865,83.96865,-0.00048,0.0
0.013,83.96865,83.96865,0.0,0.0
0.014,83.96865,83.96865,-0.00048,0.0
0.015,83.96865,83.96865,0.00048,0.0
0.016,83.96865,83.96865,-0.00048,0.0
0.017,83.96865,83.96865,0.0,0.0
0.018,83.96865,83.96865,0.0,0.0
0.019,83.96865,83.96865,0.00095,0.0
0.02,83.96865,83.96865,0.0,0.0
0.021,83.96865,83.96865,0.0,0.0
0.022,83.96865,83.96865,0.0,0.0
0.023,83.96865,83.96865,0.0,0.0
0.024,83.96865,83.96865,-0.00048,0.0
0.025,83.96865,83.96865,-0.00048,0.0
0.026,83.96865,83.96865,0.00095,0.0
0.027,83.96865,83.96865,-0.00095,0.0
0.028,83.96865,83.96865,0.0,0.0
0.029,83.96865,83.96865,0.00048,0.0
0.03,83.96865,83.96865,0.0,0.0
0.031,83.96865,83.96865,0.0,0.0
0.032,83.96865,83.96865,0.0,0.0
0.033,83.96865,83.96865,-0.00048,0.0
0.034,83.96865,83.96865,0.00095,0.0
0.035,83.96865,83.96865,-0.00048,0.0
0.036,83.96865,83.96865,0.0,0.0
0.037,83.96865,83.96865,0.00095,0.0
0.038,83.96865,83.96865,-0.00048,0.0
0.039,83.96865,83.96865,0.0,0.0
0.04,83.96865,83.96865,0.0,0.0
0.041,83.96865,83.96865,0.0,0.0
0.042,83.96865,83.96865,-0.00048,0.0
0.043,83.96865,83.96865,0.0,0.0
0.044,83.96865,83.96865,0.0,0.0
0.045,83.96865,83.96865,0.00048,0.0
0.046,83.96865,83.96865,-0.00048,0.0
0.047,83.96865,83.96865,0.00048,0.0
0.048,83.96865,83.96865,-0.00095,0.0
0.049,83.96865,83.96865,0.00048,0.0
0.05,83.96865,83.96865,-0.00048,0.0
0.051,83.96865,83.96865,0.00048,0.0
0.052,83.96865,83.96865,0.00048,0.0
0.053,83.96865,83.96865,-0.00048,0.0
0.054,83.96865,83.96865,0.0,0.0
0.055,83.96865,83.96865,-0.00048,0.0
0.056,83.96865,83.96865,0.00048,0.0
0.057,83.96865,83.96865,0.0,0.0
0.058,83.96865,83.96865,0.00048,0.0
0.059,83.96865,83.96865,0.0,0.0
0.06,83.96865,83.96865,0.0,0.0
0.061,83.96865,83.96865,0.0,0.0
0.062,83.96865,83.96865,0.00048,0.0
0.063,83.96865,83.96865,-0.00048,0.0
0.064,83.96865,83.96865,-0.00048,0.0
0.065,83.96865,83.96865,0.0,0.0
0.066,83.96865,83.96865,0.00095,0.0
0.067,83.96865,83.96865,0.0,0.0
0.068,83.96865,83.96865,-0.00048,0.0
0.069,83.96865,83.96865,-0.00048,0.0
0.07,83.96865,83.96865,0.00048,0.0
0.071,83.96865,83.96865,-0.00048,0.0
0.072,83.96865,83.96865,0.0,0.0
0.073,83.96865,83.96865,0.0,0.0
0.074,83.96865,83.96865,0.00048,0.0
0.075,83.96865,83.96865,0.0,0.0
0.076,83.96865,83.96865,0.00048,0.0
0.077,83.96865,83.96865,-0.00095,0.0
0.078,83.96865,83.96865,0.00048,0.0
0.079,83.96865,83.96865,0.0,0.0
0.08,83.96865,83.96865,-0.00095,0.0
0.081,83.96865,83.96865,0.00048,0.0
0.082,83.96865,83.96865,0.0,0.0
0.083,83.96865,83.96865,0.0,0.0
0.084,83.96865,83.96865,0.0,0.0
0.085,83.96865,83.96865,0.00048,0.0
0.086,83.96865,83.96865,0.0,0.0
0.087,83.96865,83.96865,-0.00048,0.0
0.088,83.96865,83.96865,0.00048,0.0
0.089,83.96865,83.96865,-0.00048,0.0
0.09,83.96865,83.96865,0.0,0.0
0.091,83.96865,83.96865,0.00048,0.0
