Time,MPOS(0),DPOS(0),DRIVE_FE(0)
0.0,158.72201,158.722,-6.67572e-06
0.001,158.722,158.722,1.90735e-06
0.002,158.722,158.722,2.38419e-06
0.003,158.722,158.722,-7.15256e-06
0.004,158.722,158.722,0.0
0.005,158.722,158.722,-2.86102e-06
0.006,158.72201,158.722,-3.33786e-06
0.007,158.72201,158.722,-1.19209e-05
0.008,158.72201,158.722,-1.14441e-05
0.009,158.72201,158.722,-1.38283e-05
0.01,158.722,158.722,-3.33786e-06
0.011,158.722,158.722,3.33786e-06
0.012,158.72201,158.722,-8.58307e-06
0.013,158.72201,158.722,-8.58307e-06
0.014,158.722,158.722,-9.53674e-07
0.015,158.72201,158.722,-7.62939e-06
0.016,158.722,158.722,-5.24521e-06
0.017,158.72199,158.722,6.19888e-06
0.018,158.72199,158.722,6.19888e-06
0.019,158.72199,158.722,4.76837e-06
0.02,158.72201,158.722,-5.72205e-06
0.021,158.722,158.722,4.76837e-06
0.022,158.722,158.722,2.86102e-06
0.023,158.722,158.722,-3.33786e-06
0.024,158.722,158.722,0.0
0.025,158.72201,158.722,-5.72205e-06
0.026,158.722,158.722,-1.43051e-06
0.027,158.722,158.722,2.38419e-06
0.028,158.72199,158.722,8.58307e-06
0.029,158.722,158.722,-4.29153e-06
0.03,158.722,158.722,-9.53674e-07
0.031,158.72201,158.722,-1.09673e-05
0.032,158.72201,158.722,-7.62939e-06
0.033,158.72199,158.722,1.19209e-05
0.034,158.72199,158.722,2.86102e-06
0.035,158.72199,158.722,8.58307e-06
0.036,158.72199,158.722,1.04904e-05
0.037,158.722,158.722,2.38419e-06
0.038,158.72199,158.722,7.62939e-06
0.039,158.722,158.722,-4.29153e-06
0.04,158.722,158.722,1.43051e-06
0.041,158.72201,158.722,-7.15256e-06
0.042,158.722,158.722,-2.86102e-06
0.043,158.72199,158.722,9.05991e-06
0.044,158.722,158.722,-1.90735e-06
0.045,158.72199,158.722,1.09673e-05
0.046,158.72201,158.722,-8.10623e-06
0.047,158.722,158.722,4.76837e-07
0.048,158.722,158.722,2.38419e-06
0.049,158.722,158.722,1.90735e-06
0.05,158.72201,158.722,-7.62939e-06
0.051,158.72201,158.722,-1.04904e-05
0.052,158.722,158.722,-5.24521e-06
0.053,158.72201,158.722,-1.23978e-05
0.054,158.72199,158.722,1.28746e-05
0.055,158.722,158.722,9.53674e-07
0.056,158.722,158.722,3.33786e-06
0.057,158.72201,158.722,-1.00136e-05
0.058,158.72201,158.722,-6.67572e-06
0.059,158.72202,158.722,-1.71661e-05
0.06,158.722,158.722,-4.76837e-06
0.061,158.72201,158.722,-8.10623e-06
0.062,158.722,158.722,-5.24521e-06
0.063,158.72201,158.722,-7.15256e-06
0.064,158.72199,158.722,6.67572e-06
0.065,158.722,158.722,1.90735e-06
0.066,158.722,158.722,5.72205e-06
0.067,158.722,158.722,-6.19888e-06
0.068,158.722,158.722,-4.76837e-07
0.069,158.72201,158.722,-6.19888e-06
0.07,158.72201,158.722,-5.72205e-06
0.071,158.72201,158.722,-9.53674e-06
0.072,158.72201,158.722,-1.19209e-05
0.073,158.72199,158.722,5.24521e-06
0.074,158.72201,158.722,-5.72205e-06
0.075,158.722,158.722,1.90735e-06
0.076,158.72201,158.722,-4.76837e-06
0.077,158.72201,158.722,-1.43051e-05
0.078,158.72201,158.722,-8.58307e-06
0.079,158.722,158.722,-9.53674e-07
0.08,158.72201,158.722,-8.10623e-06
0.081,158.72199,158.722,9.05991e-06
0.082,158.722,158.722,-4.29153e-06
0.083,158.722,158.722,-2.38419e-06
0.084,158.72201,158.722,-8.10623e-06
0.085,158.72201,158.722,-6.67572e-06
0.086,158.722,158.722,-3.8147e-06
0.087,158.72201,158.722,-9.53674e-06
0.088,158.72201,158.722,-9.53674e-06
0.089,158.72201,158.722,-1.09673e-05
0.09,158.722,158.722,9.53674e-07
0.091,158.72201,158.722,-4.76837e-06
0.092,158.72201,158.722,-8.10623e-06
0.093,158.722,158.722,3.8147e-06
0.094,158.722,158.722,2.38419e-06
0.095,158.72199,158.722,5.24521e-06
0.096,158.722,158.722,-4.76837e-06
0.097,158.722,158.722,4.76837e-07
0.098,158.72199,158.722,5.72205e-06
0.099,158.72201,158.722,-6.67572e-06
0.1,158.72201,158.722,-1.28746e-05
0.101,158.722,158.722,-2.86102e-06
0.102,158.72201,158.722,-1.09673e-05
0.103,158.722,158.722,1.43051e-06
0.104,158.722,158.722,-2.86102e-06
0.105,158.722,158.722,4.29153e-06
0.106,158.72199,158.722,5.24521e-06
0.107,158.722,158.722,1.90735e-06
0.108,158.722,158.722,3.33786e-06
0.109,158.722,158.722,-2.86102e-06
0.11,158.72199,158.722,5.24521e-06
0.111,158.72199,158.722,7.15256e-06
0.112,158.72201,158.722,-3.8147e-06
0.113,158.722,158.722,-4.76837e-07
0.114,158.72201,158.722,-7.15256e-06
0.115,158.72199,158.722,1.28746e-05
0.116,158.722,158.722,-4.76837e-06
0.117,158.722,158.722,-3.33786e-06
0.118,158.72201,158.722,-2.38419e-06
0.119,158.72201,158.722,-1.23978e-05
0.12,158.72201,158.722,-1.71661e-05
0.121,158.72201,158.722,-7.62939e-06
0.122,158.722,158.722,-5.24521e-06
0.123,158.72201,158.722,-4.76837e-06
0.124,158.72199,158.722,1.04904e-05
0.125,158.722,158.722,4.76837e-07
0.126,158.722,158.722,1.43051e-06
0.127,158.72199,158.722,6.67572e-06
0.128,158.72199,158.722,3.8147e-06
0.129,158.722,158.722,-3.33786e-06
0.13,158.72199,158.722,2.86102e-06
0.131,158.72199,158.722,1.09673e-05
0.132,158.722,158.722,2.86102e-06
0.133,158.72201,158.722,-6.67572e-06
0.134,158.722,158.722,3.8147e-06
0.135,158.72201,158.722,-4.76837e-06
0.136,158.72201,158.722,-9.05991e-06
0.137,158.722,158.722,1.43051e-06
0.138,158.722,158.722,-1.90735e-06
0.139,158.72201,158.722,-3.33786e-06
0.14,158.72201,158.722,-7.62939e-06
0.141,158.722,158.722,-2.86102e-06
0.142,158.72199,158.722,7.62939e-06
0.143,158.722,158.722,-1.90735e-06
0.144,158.722,158.722,6.19888e-06
0.145,158.72201,158.722,-1.23978e-05
0.146,158.722,158.722,0.0
0.147,158.722,158.722,-4.29153e-06
0.148,158.722,158.722,-2.38419e-06
0.149,158.722,158.722,1.43051e-06
0.15,158.722,158.722,-4.76837e-07
0.151,158.722,158.722,1.90735e-06
0.152,158.72199,158.722,5.24521e-06
0.153,158.722,158.722,-9.53674e-07
0.154,158.722,158.722,6.19888e-06
0.155,158.722,158.722,-2.86102e-06
0.156,158.722,158.722,-3.8147e-06
0.157,158.72201,158.722,-6.67572e-06
0.158,158.72201,158.722,-5.72205e-06
0.159,158.722,158.722,4.29153e-06
0.16,158.722,158.722,2.86102e-06
0.161,158.722,158.722,1.90735e-06
0.162,158.722,158.722,3.8147e-06
0.163,158.72199,158.722,3.33786e-06
0.164,158.722,158.722,3.8147e-06
0.165,158.72198,158.722,1.7643e-05
0.166,158.72201,158.722,-5.72205e-06
0.167,158.72199,158.722,9.53674e-06
0.168,158.722,158.722,-2.38419e-06
0.169,158.72199,158.722,4.29153e-06
0.17,158.722,158.722,-1.43051e-06
0.171,158.722,158.722,2.38419e-06
0.172,158.72201,158.722,-1.19209e-05
0.173,158.722,158.722,1.90735e-06
0.174,158.722,158.722,5.72205e-06
0.175,158.72199,158.722,8.10623e-06
0.176,158.72199,158.722,1.52588e-05
0.177,158.72199,158.722,7.62939e-06
0.178,158.72199,158.722,1.14441e-05
0.179,158.72201,158.722,-5.72205e-06
0.18,158.722,158.722,-2.38419e-06
0.181,158.722,158.722,-1.90735e-06
0.182,158.722,158.722,3.8147e-06
0.183,158.722,158.722,9.53674e-07
0.184,158.72201,158.722,-1.09673e-05
0.185,158.722,158.722,-4.76837e-07
0.186,158.72199,158.722,6.67572e-06
0.187,158.72199,158.722,3.8147e-06
0.188,158.72201,158.722,-1.09673e-05
0.189,158.722,158.722,-1.43051e-06
0.19,158.722,158.722,1.90735e-06
0.191,158.722,158.722,1.90735e-06
0.192,158.72199,158.722,9.53674e-06
0.193,158.72201,158.722,-1.14441e-05
0.194,158.72199,158.722,6.67572e-06
0.195,158.72199,158.722,9.05991e-06
0.196,158.722,158.722,0.0
0.197,158.72201,158.722,-1.19209e-05
0.198,158.72199,158.722,9.53674e-06
0.199,158.72199,158.722,8.10623e-06
0.2,158.72199,158.722,1.04904e-05
0.201,158.722,158.722,2.86102e-06
0.202,158.722,158.722,1.43051e-06
0.203,158.722,158.722,0.0
0.204,158.722,158.722,9.53674e-07
0.205,158.722,158.722,6.19888e-06
0.206,158.722,158.722,3.8147e-06
0.207,158.722,158.722,-4.76837e-07
0.208,158.722,158.722,-4.76837e-06
0.209,158.72199,158.722,5.72205e-06
0.21,158.722,158.722,4.76837e-06
0.211,158.72201,158.722,-9.53674e-06
0.212,158.72199,158.722,1.28746e-05
0.213,158.722,158.722,0.0
0.214,158.722,158.722,4.29153e-06
0.215,158.722,158.722,-4.76837e-07
0.216,158.72201,158.722,-2.86102e-06
0.217,158.72199,158.722,4.29153e-06
0.218,158.722,158.722,4.76837e-06
0.219,158.72201,158.722,-7.15256e-06
0.22,158.722,158.722,-3.8147e-06
0.221,158.722,158.722,9.53674e-07
0.222,158.722,158.722,3.33786e-06
0.223,158.72199,158.722,6.19888e-06
0.224,158.722,158.722,2.38419e-06
0.225,158.722,158.722,2.38419e-06
0.226,158.722,158.722,-4.76837e-07
0.227,158.72201,158.722,-7.62939e-06
0.228,158.72201,158.722,-7.15256e-06
0.229,158.72201,158.722,-1.28746e-05
0.23,158.72201,158.722,-6.19888e-06
0.231,158.72201,158.722,-1.19209e-05
0.232,158.722,158.722,9.53674e-07
0.233,158.722,158.722,4.29153e-06
0.234,158.72201,158.722,-8.10623e-06
0.235,158.72202,158.722,-1.4782e-05
0.236,158.722,158.722,-8.10623e-06
0.237,158.722,158.722,1.90735e-06
0.238,158.72201,158.722,-1.00136e-05
0.239,158.722,158.722,-2.86102e-06
0.24,158.722,158.722,2.38419e-06
0.241,158.722,158.722,-5.24521e-06
0.242,158.722,158.722,2.38419e-06
0.243,158.722,158.722,-1.90735e-06
0.244,158.72201,158.722,-6.19888e-06
0.245,158.722,158.722,-2.38419e-06
0.246,158.72201,158.722,-1.23978e-05
0.247,158.722,158.722,-9.53674e-07
0.248,158.72202,158.722,-1.71661e-05
0.249,158.722,158.722,-4.76837e-07
0.25,158.722,158.722,-3.8147e-06
0.251,158.722,158.722,-5.24521e-06
0.252,158.722,158.722,-1.43051e-06
0.253,158.72199,158.722,6.67572e-06
0.254,158.722,158.722,3.33786e-06
0.255,158.722,158.722,-5.72205e-06
0.256,158.722,158.722,2.86102e-06
0.257,158.722,158.722,2.38419e-06
0.258,158.72201,158.722,-9.53674e-06
0.259,158.722,158.722,-2.86102e-06
0.26,158.72201,158.722,-1.14441e-05
0.261,158.72201,158.722,-8.10623e-06
0.262,158.722,158.722,-7.15256e-06
0.263,158.722,158.722,1.90735e-06
0.264,158.722,158.722,2.86102e-06
0.265,158.72199,158.722,6.67572e-06
0.266,158.72201,158.722,-6.67572e-06
0.267,158.722,158.722,1.90735e-06
0.268,158.722,158.722,-4.76837e-07
0.269,158.722,158.722,-2.38419e-06
0.27,158.72201,158.722,-7.15256e-06
0.271,158.72201,158.722,-1.04904e-05
0.272,158.72201,158.722,-5.24521e-06
0.273,158.72199,158.722,9.05991e-06
0.274,158.722,158.722,-1.90735e-06
0.275,158.722,158.722,9.53674e-07
0.276,158.722,158.722,1.90735e-06
0.277,158.722,158.722,-4.29153e-06
0.278,158.722,158.722,3.33786e-06
0.279,158.722,158.722,-4.29153e-06
0.28,158.722,158.722,3.8147e-06
0.281,158.72201,158.722,-7.62939e-06
0.282,158.72199,158.722,7.15256e-06
0.283,158.722,158.722,0.0
0.284,158.722,158.722,1.43051e-06
0.285,158.722,158.722,-1.90735e-06
0.286,158.722,158.722,-4.29153e-06
0.287,158.722,158.722,0.0
0.288,158.72201,158.722,-1.4782e-05
0.289,158.72201,158.722,-6.19888e-06
0.29,158.72201,158.722,-7.62939e-06
0.291,158.72201,158.722,-1.19209e-05
0.292,158.72201,158.722,-6.67572e-06
0.293,158.72201,158.722,-1.00136e-05
0.294,158.722,158.722,5.24521e-06
0.295,158.72199,158.722,4.76837e-07
0.296,158.72201,158.722,-2.86102e-06
0.297,158.72199,158.722,1.04904e-05
0.298,158.722,158.722,-1.43051e-06
0.299,158.722,158.722,-9.53674e-07
0.3,158.722,158.722,-4.76837e-06
0.301,158.722,158.722,1.43051e-06
0.302,158.72201,158.722,-1.23978e-05
0.303,158.72199,158.722,6.19888e-06
0.304,158.722,158.722,2.86102e-06
0.305,158.72201,158.722,-5.72205e-06
0.306,158.722,158.722,-2.86102e-06
0.307,158.722,158.722,2.86102e-06
0.308,158.722,158.722,4.76837e-07
0.309,158.722,158.722,9.53674e-07
0.31,158.722,158.722,-4.76837e-06
0.311,158.722,158.722,9.53674e-07
0.312,158.722,158.722,-5.72205e-06
0.313,158.72201,158.722,-7.15256e-06
0.314,158.722,158.722,-4.76837e-07
0.315,158.72201,158.722,-5.72205e-06
0.316,158.722,158.722,9.53674e-07
0.317,158.72199,158.722,9.05991e-06
0.318,158.72199,158.722,1.19209e-05
0.319,158.722,158.722,2.38419e-06
0.32,158.722,158.722,7.62939e-06
0.321,158.722,158.722,-5.24521e-06
0.322,158.722,158.722,-2.86102e-06
0.323,158.722,158.722,-3.8147e-06
0.324,158.722,158.722,-5.24521e-06
0.325,158.72201,158.722,-4.76837e-06
0.326,158.72201,158.722,-1.00136e-05
