Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.0,184.96929,184.96929,3.33786e-06,0.00715
0.001,184.96929,184.96929,7.62939e-06,-0.00238
0.002,184.96929,184.96929,6.19888e-06,-0.00191
0.003,184.96929,184.96929,0.0,0.00763
0.004,184.96929,184.96929,8.58307e-06,-0.00858
0.005,184.96929,184.96929,7.62939e-06,0.00286
0.006,184.96929,184.96929,4.29153e-06,0.00095
0.007,184.96929,184.96929,-1.43051e-06,0.00525
0.008,184.96929,184.96929,7.15256e-06,-0.00858
0.009,184.96929,184.96929,-9.53674e-07,0.00906
0.01,184.96928,184.96929,1.04904e-05,-0.01192
0.011,184.96929,184.96929,3.8147e-06,0.00668
0.012,184.9693,184.96929,-4.29153e-06,0.00763
0.013,184.96928,184.96929,9.05991e-06,-0.0124
0.014,184.96929,184.96929,8.58307e-06,0.00286
0.015,184.96929,184.96929,-1.90735e-06,0.00525
0.016,184.9693,184.96929,-1.00136e-05,0.01097
0.017,184.96929,184.96929,3.8147e-06,-0.01383
0.018,184.9693,184.96929,-2.38419e-06,0.00525
0.019,184.96929,184.96929,6.67572e-06,-0.00906
0.02,184.96931,184.96929,-1.33514e-05,0.01955
0.021,184.96929,184.96929,-9.53674e-07,-0.01144
0.022,184.96929,184.96929,4.76837e-06,-0.00286
0.023,184.96929,184.96929,5.24521e-06,-0.00477
0.024,184.9693,184.96929,-3.33786e-06,0.00954
0.025,184.9693,184.96929,-4.76837e-07,0.0
0.026,184.96929,184.96929,1.90735e-06,-0.00477
0.027,184.96929,184.96929,3.8147e-06,0.00048
0.028,184.96929,184.96929,4.76837e-07,0.00095
0.029,184.9693,184.96929,9.53674e-07,0.00381
0.03,184.9693,184.96929,-7.15256e-06,0.00143
0.031,184.96929,184.96929,0.0,-0.00429
0.032,184.96928,184.96929,1.28746e-05,-0.01144
0.033,184.96929,184.96929,7.15256e-06,0.00715
0.034,184.96929,184.96929,1.43051e-06,0.00191
0.035,184.9693,184.96929,4.76837e-07,0.00477
0.036,184.9693,184.96929,-7.15256e-06,0.00095
0.037,184.96929,184.96929,7.15256e-06,-0.00954
0.038,184.9693,184.96929,-8.58307e-06,0.01574
0.039,184.9693,184.96929,-2.86102e-06,-0.00572
0.04,184.96929,184.96929,4.76837e-06,-0.01049
0.041,184.96929,184.96929,0.0,0.00572
0.042,184.9693,184.96929,-2.86102e-06,0.00429
0.043,184.9693,184.96929,-5.72205e-06,0.00238
0.044,184.96931,184.96929,-1.23978e-05,0.0062
0.045,184.96929,184.96929,3.8147e-06,-0.01669
0.046,184.96931,184.96929,-1.09673e-05,0.01717
0.047,184.96929,184.96929,0.0,-0.01669
0.048,184.96931,184.96929,-1.85966e-05,0.02241
0.049,184.9693,184.96929,-4.76837e-06,-0.0124
0.05,184.9693,184.96929,-1.00136e-05,0.00334
0.051,184.96929,184.96929,9.53674e-07,-0.01049
0.052,184.9693,184.96929,-9.53674e-07,0.00334
0.053,184.96929,184.96929,6.67572e-06,-0.00715
0.054,184.96929,184.96929,4.76837e-06,0.00238
0.055,184.96929,184.96929,9.53674e-07,0.00238
0.056,184.96929,184.96929,6.67572e-06,-0.00763
0.057,184.96929,184.96929,4.76837e-06,0.00191
0.058,184.96929,184.96929,6.67572e-06,0.00191
0.059,184.96929,184.96929,-4.76837e-07,0.00381
0.06,184.9693,184.96929,-3.8147e-06,0.00286
0.061,184.96931,184.96929,-1.43051e-05,0.0124
0.062,184.96929,184.96929,0.0,-0.01621
0.063,184.9693,184.96929,-6.67572e-06,0.01049
0.064,184.9693,184.96929,-6.67572e-06,-0.00286
0.065,184.9693,184.96929,-1.04904e-05,0.00381
0.066,184.96929,184.96929,4.76837e-07,-0.01097
0.067,184.9693,184.96929,-4.29153e-06,0.00525
0.068,184.96929,184.96929,4.29153e-06,-0.00954
0.069,184.96928,184.96929,1.28746e-05,-0.00906
0.07,184.9693,184.96929,-7.62939e-06,0.02146
0.071,184.96929,184.96929,4.76837e-06,-0.01049
0.072,184.96929,184.96929,2.38419e-06,-0.00286
0.073,184.96929,184.96929,7.62939e-06,-0.00143
0.074,184.96929,184.96929,2.38419e-06,0.00715
0.075,184.96929,184.96929,4.29153e-06,-0.00525
0.076,184.96929,184.96929,5.24521e-06,0.00334
0.077,184.96929,184.96929,-2.38419e-06,0.00191
0.078,184.96929,184.96929,7.15256e-06,-0.00429
0.079,184.9693,184.96929,-4.29153e-06,0.0062
0.08,184.96929,184.96929,5.24521e-06,-0.00763
0.081,184.9693,184.96929,-9.53674e-06,0.01574
0.082,184.96929,184.96929,9.05991e-06,-0.01574
0.083,184.9693,184.96929,-1.43051e-06,0.00811
0.084,184.96929,184.96929,4.76837e-07,-0.00191
0.085,184.9693,184.96929,-6.67572e-06,0.00715
0.086,184.9693,184.96929,-2.86102e-06,-0.00525
0.087,184.9693,184.96929,-5.24521e-06,0.00381
0.088,184.96929,184.96929,1.43051e-06,-0.00572
0.089,184.96929,184.96929,1.43051e-06,-0.00238
0.09,184.9693,184.96929,-2.38419e-06,0.00477
0.091,184.96929,184.96929,1.43051e-06,-0.00381
0.092,184.96929,184.96929,1.43051e-06,-0.00143
0.093,184.9693,184.96929,-9.53674e-07,0.0062
0.094,184.96929,184.96929,-9.53674e-07,-0.00381
0.095,184.9693,184.96929,-4.76837e-06,0.00668
0.096,184.9693,184.96929,-7.62939e-06,0.00143
0.097,184.9693,184.96929,-5.72205e-06,-0.00286
0.098,184.96929,184.96929,2.38419e-06,-0.00906
0.099,184.96931,184.96929,-1.38283e-05,0.01717
0.1,184.96929,184.96929,4.76837e-06,-0.0205
0.101,184.96929,184.96929,6.67572e-06,0.00477
0.102,184.96929,184.96929,3.33786e-06,-0.00191
0.103,184.96929,184.96929,7.15256e-06,0.0
0.104,184.9693,184.96929,-9.53674e-06,0.01097
0.105,184.96929,184.96929,2.86102e-06,-0.01001
0.106,184.96929,184.96929,4.76837e-06,0.00048
0.107,184.96929,184.96929,-1.90735e-06,0.00429
0.108,184.9693,184.96929,-8.10623e-06,0.00668
0.109,184.96929,184.96929,4.76837e-07,-0.00763
0.11,184.9693,184.96929,-4.76837e-06,0.0062
0.111,184.9693,184.96929,-4.76837e-06,-0.00286
0.112,184.9693,184.96929,-8.10623e-06,0.00572
0.113,184.9693,184.96929,-3.8147e-06,-0.00381
0.114,184.96931,184.96929,-8.10623e-06,0.0062
0.115,184.9693,184.96929,-1.00136e-05,-0.00381
0.116,184.96929,184.96929,5.72205e-06,-0.01287
0.117,184.96929,184.96929,0.0,0.00477
0.118,184.96929,184.96929,5.24521e-06,-0.00095
0.119,184.96929,184.96929,-1.90735e-06,0.00238
0.12,184.96929,184.96929,2.38419e-06,-0.00095
0.121,184.96929,184.96929,2.86102e-06,-0.00381
0.122,184.9693,184.96929,-3.8147e-06,0.00715
0.123,184.9693,184.96929,-7.62939e-06,0.00477
0.124,184.9693,184.96929,-1.09673e-05,0.00143
0.125,184.9693,184.96929,-6.67572e-06,-0.00048
0.126,184.9693,184.96929,-5.72205e-06,-0.00238
