Time,DPOS(0),MSPEED(0),DRIVE_FE(0),DEMAND_SPEED(0),DEMAND_SPEED_NORMALISED(0)
0.0,-582422455.0,1000.0,0.0,1.0,1000.0
0.001,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.002,-582422455.0,1000.0,0.0,1.0,1000.0
0.003,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.004,-582422456.0,0.0,0.0,0.0,0.0
0.005,-582422455.0,1000.0,0.0,1.0,1000.0
0.006,-582422457.0,-2000.0,0.0,-2.0,-2000.0
0.007,-582422455.0,2000.0,0.0,2.0,2000.0
0.008,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.009,-582422456.0,0.0,0.0,0.0,0.0
0.01,-582422455.0,1000.0,0.0,1.0,1000.0
0.011,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.012,-582422455.0,1000.0,0.0,1.0,1000.0
0.013,-582422457.0,-2000.0,0.0,-2.0,-2000.0
0.014,-582422455.0,2000.0,0.0,2.0,2000.0
0.015,-582422453.0,2000.0,0.0,2.0,2000.0
0.016,-582422455.0,-2000.0,0.0,-2.0,-2000.0
0.017,-582422455.0,0.0,0.0,0.0,0.0
0.018,-582422455.0,0.0,0.0,0.0,0.0
0.019,-582422455.0,0.0,0.0,0.0,0.0
0.02,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.021,-582422456.0,0.0,0.0,0.0,0.0
0.022,-582422456.0,0.0,0.0,0.0,0.0
0.023,-582422456.0,0.0,0.0,0.0,0.0
0.024,-582422455.0,1000.0,0.0,1.0,1000.0
0.025,-582422455.0,0.0,0.0,0.0,0.0
0.026,-582422455.0,0.0,0.0,0.0,0.0
0.027,-582422455.0,0.0,0.0,0.0,0.0
0.028,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.029,-582422455.0,1000.0,0.0,1.0,1000.0
0.03,-582422455.0,0.0,0.0,0.0,0.0
0.031,-582422454.0,1000.0,0.0,1.0,1000.0
0.032,-582422456.0,-2000.0,0.0,-2.0,-2000.0
0.033,-582422455.0,1000.0,0.0,1.0,1000.0
