Time,DRIVE_CURRENT(0),MSPEED(0),DRIVE_FE(0),DPOS(0)
0.0,5.0,-0.00048,0.0,162.40646
0.001,7.0,-0.00048,0.0,162.40646
0.002,4.0,0.0,0.0,162.40646
0.003,3.0,-0.00048,0.0,162.40645
0.004,0.0,0.0,0.0,162.40645
0.005,6.0,0.00095,0.0,162.40646
0.006,-1.0,-0.00048,0.0,162.40646
0.007,-3.0,0.0,0.0,162.40646
0.008,-1.0,0.0,0.0,162.40646
0.009,10.0,0.0,0.0,162.40646
0.01,2.0,-0.00048,0.0,162.40645
0.011,-2.0,0.00048,0.0,162.40646
0.012,2.0,0.00048,0.0,162.40646
0.013,10.0,0.0,0.0,162.40646
0.014,6.0,0.0,0.0,162.40646
0.015,8.0,0.0,0.0,162.40646
0.016,14.0,0.0,0.0,162.40646
0.017,6.0,-0.00048,0.0,162.40646
0.018,3.0,0.0,0.0,162.40646
0.019,3.0,0.00048,0.0,162.40646
0.02,9.0,-0.00048,0.0,162.40646
0.021,5.0,0.00048,0.0,162.40646
0.022,7.0,-0.00048,0.0,162.40646
0.023,11.0,-0.00048,0.0,162.40645
0.024,5.0,0.00095,0.0,162.40646
0.025,-2.0,0.00095,0.0,162.40646
0.026,1.0,-0.00143,0.0,162.40646
0.027,4.0,0.00048,0.0,162.40646
0.028,-7.0,0.0,0.0,162.40646
0.029,5.0,-0.00048,0.0,162.40646
0.03,7.0,0.00048,0.0,162.40646
0.031,7.0,-0.00048,0.0,162.40646
0.032,1.0,0.00048,0.0,162.40646
0.033,3.0,0.0,0.0,162.40646
0.034,2.0,0.00048,0.0,162.40646
0.035,6.0,-0.00095,0.0,162.40646
0.036,3.0,0.00048,0.0,162.40646
0.037,3.0,0.00048,0.0,162.40646
0.038,-1.0,-0.00048,0.0,162.40646
0.039,4.0,0.00048,0.0,162.40646
0.04,6.0,-0.00048,0.0,162.40646
0.041,2.0,0.0,0.0,162.40646
0.042,-2.0,0.0,0.0,162.40646
0.043,9.0,0.0,0.0,162.40646
0.044,12.0,-0.00048,0.0,162.40646
0.045,0.0,0.00048,0.0,162.40646
0.046,0.0,-0.00048,0.0,162.40646
0.047,1.0,0.0,0.0,162.40646
0.048,7.0,0.0,0.0,162.40646
0.049,2.0,0.0,0.0,162.40646
0.05,2.0,-0.00048,0.0,162.40645
0.051,3.0,0.00048,0.0,162.40646
0.052,-1.0,-0.00048,0.0,162.40645
0.053,-2.0,0.00048,0.0,162.40646
0.054,-2.0,0.00048,0.0,162.40646
0.055,10.0,-0.00048,0.0,162.40646
0.056,3.0,0.00048,0.0,162.40646
0.057,8.0,-0.00095,0.0,162.40645
0.058,-8.0,0.00095,0.0,162.40646
0.059,8.0,0.0,0.0,162.40646
0.06,0.0,0.00048,0.0,162.40646
0.061,0.0,0.0,0.0,162.40646
0.062,9.0,0.0,0.0,162.40646
0.063,10.0,-0.00048,0.0,162.40646
0.064,8.0,-0.00048,0.0,162.40646
0.065,7.0,0.0,0.0,162.40646
0.066,9.0,0.00048,0.0,162.40646
0.067,5.0,-0.00048,0.0,162.40646
0.068,4.0,0.00048,0.0,162.40646
0.069,3.0,0.0,0.0,162.40646
0.07,3.0,-0.00095,0.0,162.40645
0.071,10.0,0.00048,0.0,162.40646
0.072,9.0,0.0,0.0,162.40646
0.073,9.0,0.0,0.0,162.40646
0.074,6.0,0.00048,0.0,162.40646
0.075,3.0,-0.00048,0.0,162.40646
0.076,5.0,0.0,0.0,162.40646
0.077,3.0,0.00048,0.0,162.40646
0.078,9.0,-0.00048,0.0,162.40646
0.079,6.0,0.00048,0.0,162.40646
0.08,1.0,-0.00048,0.0,162.40646
0.081,14.0,0.0,0.0,162.40646
0.082,2.0,0.00048,0.0,162.40646
0.083,0.0,0.00048,0.0,162.40646
0.084,2.0,-0.00095,0.0,162.40646
0.085,13.0,0.00048,0.0,162.40646
0.086,-1.0,0.0,0.0,162.40646
0.087,-2.0,-0.00048,0.0,162.40646
0.088,3.0,-0.00048,0.0,162.40645
0.089,8.0,0.00143,0.0,162.40646
0.09,8.0,-0.00095,0.0,162.40646
0.091,9.0,0.00048,0.0,162.40646
0.092,9.0,0.00048,0.0,162.40646
0.093,2.0,-0.00048,0.0,162.40646
0.094,12.0,-0.00048,0.0,162.40646
0.095,6.0,0.00048,0.0,162.40646
0.096,1.0,0.0,0.0,162.40646
0.097,6.0,-0.00048,0.0,162.40646
0.098,0.0,0.00048,0.0,162.40646
0.099,6.0,0.0,0.0,162.40646
0.1,3.0,0.0,0.0,162.40646
0.101,2.0,0.0,0.0,162.40646
0.102,6.0,0.00048,0.0,162.40646
0.103,7.0,-0.00095,0.0,162.40646
0.104,2.0,0.00048,0.0,162.40646
0.105,2.0,0.0,0.0,162.40646
0.106,5.0,-0.00048,0.0,162.40646
0.107,3.0,0.00048,0.0,162.40646
0.108,11.0,0.0,0.0,162.40646
0.109,7.0,0.0,0.0,162.40646
0.11,1.0,-0.00048,0.0,162.40646
0.111,1.0,0.0,0.0,162.40646
