timestamp,axis,score,settle_ms,fe_settle_peak,ringing,fe_cruise_rms,fe_accel_peak,osc_hz,vel_reach,vel_overshoot_pct,settle_spread_ms,n_moves,duration_s,band,band_source,drive_type,pn100_tuning_mode,pn100_vibration,pn100_damping,pn101,pn102,pn103,pn104,pn106,pn112,pn113,pn114,pn115,pn135,pn_changes
15:09:43,0,7.0,,3.1471,1,3.1717,3.3299,24.6,0.937,89.42,,2,4.0125,0.001067,auto (4x noise),DX4,5,0,0,71,500,100,30,451,0,5,0,5,16,
15:11:26,0,7.0,,0.5722,1,0.6384,0.6618,24.8,0.989,48.85,,2,6.293,0.000944,auto (4x noise),DX4,5,0,0,71,500,100,30,451,80,5,0,5,16,Pn112 0→80
15:12:20,0,7.0,195.0,0.2483,1,0.3231,0.3258,24.9,0.996,43.41,30.5,2,3.4815,0.001832,auto (4x noise),DX4,5,0,0,71,500,100,30,451,90,5,0,5,16,Pn112 80→90
15:13:02,0,7.0,,0.2495,1,0.3224,0.3253,24.8,0.995,42.73,,2,4.9105,7.9e-05,auto (4x noise),DX4,5,0,0,71,500,90,30,451,90,5,0,5,16,Pn103 100→90
15:13:49,0,7.0,,0.2373,0,0.3238,0.3236,24.9,0.996,45.23,,2,3.148,0.00253,auto (4x noise),DX4,5,0,0,71,400,90,30,451,90,5,0,5,16,Pn102 500→400
15:14:15,0,7.0,,0.2631,1,0.3202,0.3276,24.9,0.995,42.82,,2,3.2935,0.000226,auto (4x noise),DX4,5,0,0,71,700,90,30,451,90,5,0,5,16,Pn102 400→700
15:19:02,0,7.0,,0.3125,1,0.3223,0.327,24.8,0.994,38.63,,2,3.3525,7.2e-05,auto (4x noise),DX4,5,0,0,71,600,90,30,451,90,5,90,2,16,Pn102 700→600; Pn114 0→90; Pn115 5→2
15:19:34,0,5.0,,0.0572,4,0.0186,0.0356,24.9,1.0,37.09,,2,3.185,6.5e-05,auto (4x noise),DX4,5,0,0,71,600,90,30,451,100,5,90,2,16,Pn112 90→100
15:20:17,0,5.0,,0.0539,4,0.0162,0.0343,24.9,1.0,37.1,,2,3.013,0.00011,auto (4x noise),DX4,5,0,0,71,600,80,30,451,100,5,90,2,16,Pn103 90→80
15:20:43,0,7.0,,0.0692,2,0.0689,0.0629,24.8,0.999,37.47,,2,4.9535,0.000481,auto (4x noise),DX4,5,0,0,71,600,80,30,451,98,5,90,2,16,Pn112 100→98
15:20:58,0,6.0,,0.118,4,0.067,0.0928,24.9,0.998,34.54,,2,2.4885,4.5e-05,auto (4x noise),DX4,5,0,0,71,600,80,30,451,98,0,90,2,16,Pn113 5→0
15:21:25,0,7.0,,0.0452,2,0.0725,0.0612,24.9,0.999,39.82,,2,2.7655,8.5e-05,auto (4x noise),DX4,5,0,0,71,600,80,30,451,98,10,90,2,16,Pn113 0→10
15:21:54,0,6.0,,0.0478,4,0.0553,0.0539,24.9,1.0,39.94,,2,2.637,5.8e-05,auto (4x noise),DX4,5,0,0,71,600,80,40,451,98,10,90,2,16,Pn104 30→40
15:22:22,0,7.0,,0.0438,2,0.0739,0.0625,24.9,0.999,39.95,,2,2.8855,6.8e-05,auto (4x noise),DX4,5,0,0,71,600,80,29,451,98,10,90,2,16,Pn104 40→29
15:22:49,0,7.0,,0.0414,2,0.0734,0.0634,24.9,0.999,39.98,,2,2.48,5.7e-05,auto (4x noise),DX4,5,0,0,71,600,70,29,451,98,10,90,2,16,Pn103 80→70
15:23:14,0,7.0,,0.0386,2,0.0727,0.0637,24.9,0.999,39.97,,2,2.95,0.000107,auto (4x noise),DX4,5,0,0,71,600,60,29,451,98,10,90,2,16,Pn103 70→60
15:23:39,0,7.0,,0.0443,2,0.0735,0.0627,24.9,0.999,40.37,,2,2.7575,4.8e-05,auto (4x noise),DX4,5,0,0,71,500,60,29,451,98,10,90,2,16,Pn102 600→500
